"photo-13279251_299077677";"http://cs407321.vk.me/v407321826/7172/6B6oLzPYfS8.jpg";"Reebok <br/>Цена: 1005 грн.<br/>Размеры: 33-45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10001<br/>Белый";"Reebok ";1005;"RP10001";" 33-45";"Белый";"<h1>Reebok </h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077673";"http://cs407321.vk.me/v407321826/7162/3TSJviS9axc.jpg";"Reebok <br/>Цена: 1005 грн.<br/>Размеры: 33-45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10001<br/>Белый";"Reebok ";1005;"RP10001";" 33-45";"Белый";"<h1>Reebok </h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077672";"http://cs407321.vk.me/v407321826/715a/aYIXSKXDhcM.jpg";"Reebok <br/>Цена: 1005 грн.<br/>Размеры: 33-45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10001<br/>Белый";"Reebok ";1005;"RP10001";" 33-45";"Белый";"<h1>Reebok </h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077678";"http://cs407321.vk.me/v407321826/717a/JhCip1Ki1x0.jpg";"Reebok <br/>Цена: 1005 грн.<br/>Размеры: 33-45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10001<br/>Белый";"Reebok ";1005;"RP10001";" 33-45";"Белый";"<h1>Reebok </h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077671";"http://cs407321.vk.me/v407321826/7152/LTvgcOBu8JA.jpg";"Reebok <br/>Цена: 1005 грн.<br/>Размеры: 33-45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10001<br/>Белый";"Reebok ";1005;"RP10001";" 33-45";"Белый";"<h1>Reebok </h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077675";"http://cs407321.vk.me/v407321826/716a/kmUA4RMyAp8.jpg";"Reebok <br/>Цена: 1005 грн.<br/>Размеры: 33-45<br/>Материал: кожа<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10001<br/>Белый";"Reebok ";1005;"RP10001";" 33-45";"Белый";"<h1>Reebok </h1><br/><b>Материал:</b> кожа<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_355922478";"http://cs540103.vk.me/c540101/v540101826/47f5f/sPETSL6kp8g.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Черный";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Черный";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077773";"http://cs407321.vk.me/v407321826/7182/-EzMKQ_sWLo.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Черный";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Черный";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077775";"http://cs407321.vk.me/v407321826/718a/a9LJmfFM3tc.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Черный";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Черный";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077781";"http://cs407321.vk.me/v407321826/719a/qtWAjK-Kbug.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Черный";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Черный";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_299077784";"http://cs407321.vk.me/v407321826/71a2/Q25Pj9WeCRU.jpg";"Reebok Сlassic Man<br/>Цена: 1100 грн.<br/>Размеры: 39-44<br/>Материал: замша, текстиль<br/>Подошва: резина<br/>Сезон: весна, лето, осень<br/>RP10002<br/>Черный+Синий";"Reebok Сlassic Man";1100;"RP10002";" 39-44";"Черный+Синий";"<h1>Reebok Сlassic Man</h1><br/><b>Материал:</b> замша, текстиль<br/><b>Подошва:</b> резина<br/><b>Сезон:</b> весна, лето, осень<br/>";""
