"photo-13279251_355658079";"http://cs540103.vk.me/c540101/v540101826/46a9c/QTlXqbljm2Q.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Белый";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Белый";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355658084";"http://cs540103.vk.me/c540101/v540101826/46aa4/JMZ4xXAU70s.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Белый";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Белый";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355658047";"http://cs540103.vk.me/c540101/v540101826/46a7c/vkTqrN7BV2k.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Темно бежевый";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Темно бежевый";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355658090";"http://cs540103.vk.me/c540101/v540101826/46ab4/8IIYDMPiKSM.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Розовый";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Розовый";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355658087";"http://cs540103.vk.me/c540101/v540101826/46aac/mBPHn745Gsw.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Розовый";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Розовый";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355658072";"http://cs540103.vk.me/c540101/v540101826/46a94/4YF-0BKgViA.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Черный";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Черный";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355658059";"http://cs540103.vk.me/c540101/v540101826/46a8c/_z-eI_b0rh8.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Черный";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Черный";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355658055";"http://cs540103.vk.me/c540101/v540101826/46a84/yyRnDqLnC5I.jpg";"Удобные женские лодочки <br/>Цена: 740 грн.<br/>Размеры: 34 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 9 см.<br/>TW10022<br/>Черный";"Удобные женские лодочки ";740;"TW10022";" 34 - 39";"Черный";"<h1>Удобные женские лодочки </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 9 см.<br/>";""
"photo-13279251_355657137";"http://cs540103.vk.me/c540101/v540101826/46a0d/w3l_kSRvN24.jpg";"Женские туфли на высоком каблуке <br/>Цена: 782 грн.<br/>Размеры: 35 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 16 см.<br/>Платформа: 4,5 см.<br/>TW10023<br/>Бежевый";"Женские туфли на высоком каблуке ";782;"TW10023";" 35 - 39";"Бежевый";"<h1>Женские туфли на высоком каблуке </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 16 см.<br/><b>Платформа:</b> 4,5 см.<br/>";""
"photo-13279251_355657149";"http://cs540103.vk.me/c540101/v540101826/46a14/aHZBFdFrF00.jpg";"Женские туфли на высоком каблуке <br/>Цена: 782 грн.<br/>Размеры: 35 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 16 см.<br/>Платформа: 4,5 см.<br/>TW10023<br/>Бежевый";"Женские туфли на высоком каблуке ";782;"TW10023";" 35 - 39";"Бежевый";"<h1>Женские туфли на высоком каблуке </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 16 см.<br/><b>Платформа:</b> 4,5 см.<br/>";""
"photo-13279251_355657156";"http://cs540103.vk.me/c540101/v540101826/46a1b/LPYX2-0rrm8.jpg";"Женские туфли на высоком каблуке <br/>Цена: 782 грн.<br/>Размеры: 35 - 39<br/>Материал: прессованная лакированная кожа<br/>Стелька: прессованная кожа<br/>Каблук: 16 см.<br/>Платформа: 4,5 см.<br/>TW10023<br/>Черный";"Женские туфли на высоком каблуке ";782;"TW10023";" 35 - 39";"Черный";"<h1>Женские туфли на высоком каблуке </h1><br/><b>Материал:</b> прессованная лакированная кожа<br/><b>Стелька:</b> прессованная кожа<br/><b>Каблук:</b> 16 см.<br/><b>Платформа:</b> 4,5 см.<br/>";""
