"photo-13279251_301464311";"http://cs416522.vk.me/v416522826/5949/416yZ_AGYT8.jpg";"Мокасины женские<br/>Цена: 910 грн.<br/>Размеры: 35-39<br/>Материал: натур. замша<br/>Сезон: весна, лето, осень<br/>KR10004<br/>Черный";"Мокасины женские";910;"KR10004";" 35-39";"Черный";"<h1>Мокасины женские</h1><br/><b>Материал:</b> натур. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464309";"http://cs416522.vk.me/v416522826/5941/UtU7G59GstY.jpg";"Мокасины женские<br/>Цена: 910 грн.<br/>Размеры: 35-39<br/>Материал: натур. замша<br/>Сезон: весна, лето, осень<br/>KR10004<br/>Синий";"Мокасины женские";910;"KR10004";" 35-39";"Синий";"<h1>Мокасины женские</h1><br/><b>Материал:</b> натур. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464305";"http://cs416522.vk.me/v416522826/5939/quxv1cN3h7I.jpg";"Мокасины женские<br/>Цена: 910 грн.<br/>Размеры: 35-39<br/>Материал: натур. замша<br/>Сезон: весна, лето, осень<br/>KR10004<br/>Оранжевый";"Мокасины женские";910;"KR10004";" 35-39";"Оранжевый";"<h1>Мокасины женские</h1><br/><b>Материал:</b> натур. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464303";"http://cs416522.vk.me/v416522826/5931/sVp6J-XUjC8.jpg";"Мокасины женские<br/>Цена: 910 грн.<br/>Размеры: 35-39<br/>Материал: натур. замша<br/>Сезон: весна, лето, осень<br/>KR10004<br/>Желтый";"Мокасины женские";910;"KR10004";" 35-39";"Желтый";"<h1>Мокасины женские</h1><br/><b>Материал:</b> натур. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464463";"http://cs416522.vk.me/v416522826/596d/R-l-2Ak0TWo.jpg";"Туфли на плоской подошве<br/>Цена: 660 грн.<br/>Размеры: 34-39<br/>Материал: искуст. замша<br/>Сезон: весна, лето, осень<br/>KR10006<br/>Черный";"Туфли на плоской подошве";660;"KR10006";" 34-39";"Черный";"<h1>Туфли на плоской подошве</h1><br/><b>Материал:</b> искуст. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464464";"http://cs416522.vk.me/v416522826/5974/AX92gIlbHM8.jpg";"Туфли на плоской подошве<br/>Цена: 660 грн.<br/>Размеры: 34-39<br/>Материал: искуст. замша<br/>Сезон: весна, лето, осень<br/>KR10006<br/>Коричневый";"Туфли на плоской подошве";660;"KR10006";" 34-39";"Коричневый";"<h1>Туфли на плоской подошве</h1><br/><b>Материал:</b> искуст. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464462";"http://cs416522.vk.me/v416522826/5966/uFkgn_CpjMM.jpg";"Туфли на плоской подошве<br/>Цена: 660 грн.<br/>Размеры: 34-39<br/>Материал: искуст. замша<br/>Сезон: весна, лето, осень<br/>KR10006<br/>Бежевый";"Туфли на плоской подошве";660;"KR10006";" 34-39";"Бежевый";"<h1>Туфли на плоской подошве</h1><br/><b>Материал:</b> искуст. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464961";"http://cs323721.vk.me/v323721826/5723/BZ_hp7tQtjw.jpg";"Мокасины с камнями<br/>Цена: 610 грн.<br/>Размеры: 35-38<br/>Материал: искуст. замша<br/>Сезон: весна, лето, осень<br/>KR10010<br/>Черный";"Мокасины с камнями";610;"KR10010";" 35-38";"Черный";"<h1>Мокасины с камнями</h1><br/><b>Материал:</b> искуст. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_356943330";"http://cs540103.vk.me/c540101/v540101714/252f3/IeiMKYQxmZk.jpg";"Мокасины с камнями<br/>Цена: 610 грн.<br/>Размеры: 35-38<br/>Материал: искуст. замша<br/>Сезон: весна, лето, осень<br/>KR10010<br/>Черный";"Мокасины с камнями";610;"KR10010";" 35-38";"Черный";"<h1>Мокасины с камнями</h1><br/><b>Материал:</b> искуст. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301464965";"http://cs323721.vk.me/v323721826/572b/ksP4bFcWsVk.jpg";"Мокасины с камнями<br/>Цена: 610 грн.<br/>Размеры: 35-38<br/>Материал: искуст. замша<br/>Сезон: весна, лето, осень<br/>KR10010<br/>Темно синий";"Мокасины с камнями";610;"KR10010";" 35-38";"Темно синий";"<h1>Мокасины с камнями</h1><br/><b>Материал:</b> искуст. замша<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301465065";"http://cs323721.vk.me/v323721826/573b/Uu7RVXbM7r4.jpg";"Мокасины женские классические<br/>Цена: 920 грн.<br/>Размеры: 35-40<br/>Материал: натур. замша<br/>Подошва: резиновые шипы<br/>Сезон: весна, лето, осень<br/>KR10011<br/>Черный";"Мокасины женские классические";920;"KR10011";" 35-40";"Черный";"<h1>Мокасины женские классические</h1><br/><b>Материал:</b> натур. замша<br/><b>Подошва:</b> резиновые шипы<br/><b>Сезон:</b> весна, лето, осень<br/>";""
