"photo-13279251_326200869";"http://cs540103.vk.me/c540101/v540101826/13de5/OrrYs4KD1sc.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 40 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Белый+Черый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 40 - 46";"Белый+Черый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_301666184";"http://cs403828.vk.me/v403828826/6c08/RAhDdYpTHGg.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Белый+Синий";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Белый+Синий";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_289146042";"http://cs407722.vk.me/v407722826/3348/C4QiqJF7y4k.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Салатовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Салатовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_312182390";"http://cs424621.vk.me/v424621826/922c/UR67hBOb0Iw.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Салатовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Салатовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_312182393";"http://cs424621.vk.me/v424621826/9235/formT0ISEDQ.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Салатовый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Салатовый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_315944514";"http://cs419430.vk.me/v419430826/96bc/JktC0kkaLRI.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Желтый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Желтый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_315944505";"http://cs419430.vk.me/v419430826/96b4/l8XA4x7vBjM.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Желтый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Желтый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_315944521";"http://cs419430.vk.me/v419430826/96cc/MJmhTH7ra-s.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Желтый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Желтый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_315944518";"http://cs419430.vk.me/v419430826/96c4/tlwnA3Hghn8.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Желтый";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Желтый";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_289146041";"http://cs407722.vk.me/v407722826/3340/2q0bXr0pTdc.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Красный";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Красный";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
"photo-13279251_315946691";"http://cs419430.vk.me/v419430826/97aa/FbW51r23DnI.jpg";"Nike Air Max 90 Hyperfuse.<br/>Цена: 1080 грн. <br/>Размеры: 36 - 46<br/>Материал: нейлон, сетка<br/>Подошва: полиуретан<br/>Сезон: весна, лето, осень<br/>NK20001<br/>Красный";"Nike Air Max 90 Hyperfuse.";1080;"NK20001";" 36 - 46";"Красный";"<h1>Nike Air Max 90 Hyperfuse.</h1><br/><b>Материал:</b> нейлон, сетка<br/><b>Подошва:</b> полиуретан<br/><b>Сезон:</b> весна, лето, осень<br/>";""
